name,type
The Chocolate Heaven,"Dessert Parlor, Quick Bites"
The Grilled & Fried,Quick Bites
Drunken Monkey,"Beverage Shop, Quick Bites"
Kaka Food Corner,Quick Bites
Aaha,Quick Bites
Risalo Pizzeria,Quick Bites
Decker's Lane,Quick Bites
Mother's Food,Quick Bites
Aahar Vihar,Quick Bites
Tastybites.com,Quick Bites
Kaafi Desi,Quick Bites
Crunchie Corner,Quick Bites
Namak Swad Anusaar,Quick Bites
Beyond Elements,"Casual Dining, Cafe"
Odisha Kitchen,Quick Bites
Rolls & Bowls,Quick Bites
Oregano Soul Food,Cafe
Breads and Banter,"Cafe, Bakery"
Dunkin' Donuts,"Quick Bites, Dessert Parlor"
The Chocolate Heaven,"Dessert Parlor, Quick Bites"
Whitefield Baking Company - Bengaluru Marriott Hotel...,"Bakery, Cafe"
Chai Point,"Beverage Shop, Quick Bites"
Madouk Cafe,Cafe
Cafe Coffee Day,Cafe
An Egg Story,Cafe
M.M.A. Kabab's & Biriyani Center,Quick Bites
Litti House,Quick Bites
Risalo Pizzeria,Quick Bites
KFC,Quick Bites
Crunchie Corner,Quick Bites
Mayura Sagar,Quick Bites
McDonald's,Quick Bites
Dunkin' Donuts,"Quick Bites, Dessert Parlor"
Mayura Grand,Quick Bites
Tastybites.com,Quick Bites
Aaha,Quick Bites
Enchanted Garden,"Casual Dining, Cafe"
Oregano Soul Food,Cafe
Kaafi Desi,Quick Bites
Chai Mania,Cafe
Aahar Vihar,Quick Bites
Chatora,Quick Bites
Bangaliana,Quick Bites
The Chocolate Heaven,"Dessert Parlor, Quick Bites"
Desi Bites,Quick Bites
Kabab Mirchi,Quick Bites
Faasos,Quick Bites
Pizza Hut,Quick Bites
Namak Swad Anusaar,Quick Bites
Whitefield Baking Company - Bengaluru Marriott Hotel...,"Bakery, Cafe"
Kaka Food Corner,Quick Bites
Decker's Lane,Quick Bites
Thalassery Restaurant,Quick Bites
Desi Khana,Quick Bites
U.P. Dhaba,Quick Bites
Desi Doze,Quick Bites
Ammi's Biryani,Quick Bites
Udupi Grand,Quick Bites
NYS Kitchen,Quick Bites
Lassi Corner,"Beverage Shop, Quick Bites"
The Grilled & Fried,Quick Bites
Dil Punjabi,Quick Bites
Mudpipe Cafe,Cafe
Bun Town,"Cafe, Bakery"
Brewz Coffee,Cafe
Bakers Town,Cafe
Cafe Orio,Cafe
De Street Cafe,Cafe
PHEW (Play Hard Eat Wild),Cafe
Fabindia Cafe,Cafe
The Yogisthaan Cafe,Cafe
Truffles,"Cafe, Casual Dining"
Sixth Avenue Cafe And Patisserie,"Cafe, Dessert Parlor"
Hungry Hippie,Cafe
YORK St.,Cafe
Roundup Cafe,Cafe
Market Table,Cafe
Slate Cafe,Cafe
Mr. Beans - Home Cafe,Cafe
154 Breakfast Club,Cafe
99 Pancakes,"Dessert Parlor, Cafe"
Starbucks,Cafe
Cafe D'hide,Cafe
Fresh Pressery Cafe,Cafe
D View Cafe,"Cafe, Quick Bites"
Vitamin Palace,Cafe
WTF,Cafe
Billionaires Cafe,Cafe
Kalmane Koffees,Cafe
Tella Tales,Cafe
Barista,Cafe
Dhuaan,Cafe
Foodiesthan,Cafe
Mug N Bean,Cafe
